paper,year,venue,family,relevance_class,claims_overlapped,strongest_overlap,strongest_difference,source,evidence_location,confidence
"Automating Statistics Management for Query Optimizers",2001,TKDE,A, CLOSE,"N1;N4;non-monotonicity boundary","Statistics subsets are configuration inputs; dependencies are acknowledged; same-current-plan does not make a statistic safely removable because a second statistic can make it relevant","Repeated optimizer/sensitivity analysis; no executable estimator representation or dependency oracle",https://doi.org/10.1109/69.908978,"Sections 3.2-5.2; MNSA/D counterexample",HIGH
"AutoAdmin What-If Index Analysis Utility",1998,SIGMOD,B,RELATED,"N2;N5","Hypothetical configuration evaluation without materialization","What-if optimizer interface returns plan/cost; no retained estimator-semantic state or incremental invalidation",https://doi.org/10.1145/276304.276337,"Sections 2-4",HIGH
"Efficient Use of the Query Optimizer for Automated Physical Design (INUM)",2007,VLDB,C,CLOSE,"N2;N5;combination challenge","Workload query is preprocessed into reusable configuration-parametric plan/cost structures covering latent alternatives","No dependency interface or incremental move invalidation; does not represent statistics-consumption semantics",https://www.vldb.org/conf/2007/papers/research/p1093-papadomanolakis.pdf,"Sections 3-4",HIGH
"Configuration-Parametric Query Optimization for Physical Design Tuning",2008,SIGMOD,D,CLOSE,"N2;N5;combination challenge","A specialized optimizer invocation creates a compact MEMO/APR representation that produces plans for arbitrary configurations and retains alternatives that configurations may enable","No exposed dependency oracle or exact delta evaluator; represented computation is plan optimization rather than statistics-sensitive estimation",https://doi.org/10.1145/1376616.1376710,"Sections 2.1 and 3-4",HIGH
"Enabling Incremental Query Re-Optimization",2016,SIGMOD,E,CLOSE,"N3;N4","One retained optimizer-state representation supplies output and exact incremental update; pruned alternatives are re-derived/reintroduced after cost/cardinality changes","Delta is updated cost/cardinality information rather than statistics physical-design objects; estimator control and payload semantics are outside the representation",https://doi.org/10.1145/2882903.2915212,"Sections 3-5; especially 5.1-5.4",HIGH
"A Library for Self-Adjusting Computation",2006,ENTCS,F,CLOSE,"N3;N4","Executable computation builds dynamic data/control dependencies and change propagation produces from-scratch-equivalent output while control paths can change","General PL mechanism; no physical design, CE semantics, or conservative statistics-candidate closure",https://doi.org/10.1016/j.entcs.2005.11.043,"Sections 1-3",HIGH
"Adapton: Composable Demand-Driven Incremental Computation",2014,PLDI,F,RELATED,"N3;N4","Demanded computation graph supports composable exact incremental recomputation and dynamic dependency changes","No database physical-design or estimator-semantic contribution",https://doi.org/10.1145/2594291.2594324,"Abstract; Sections 2-4",HIGH
"Index Interactions in Physical Design Tuning",2009,PVLDB,H,CLOSE,"N1;N4;N5","Formalizes context-dependent positive/negative design-object benefit, including objects useless alone but useful jointly; derives interaction relations for tuning tools","Uses optimizer plans/costs as opaque what-if outputs; no semantic executable representation and no exact incremental design evaluator",https://doi.org/10.14778/1687627.1687766,"Sections 1-4; Definitions 2.2-2.3",HIGH
"Parametric Query Optimization",1992,VLDB,D,RELATED,"N2","Represents optimal plans across a parameter space including selectivity and memory","Numerical parameters rather than physical statistics configurations; no dependency oracle",https://www.vldb.org/conf/1992/P103.PDF,"Sections 1-3",HIGH
"Parametric Query Optimization for Linear and Piecewise Linear Cost Functions",2002,VLDB,D,RELATED,"N2","Specializes a query across selectivity/system parameters and retains plans by parameter region","No statistics-design semantics or incremental invalidation",https://doi.org/10.1016/B978-155860869-6/50023-8,"Problem formulation and algorithm sections",HIGH
"Automatic Tuning of Data Synopses",2003,DKE,A/H,RELATED,"N1;N5","Joint synopsis choice and memory allocation under workload error objective","Maps a query to one synopsis and does not preserve native multi-mechanism estimator control",https://doi.org/10.1016/S0306-4379(02)00050-9,"Framework; synopsis selection and allocation",MEDIUM
"CORDS: Automatic Discovery of Correlations and Soft Functional Dependencies",2004,SIGMOD,A/G,RELATED,"candidate discovery","Workload/data-driven discovery of correlated column groups","No configuration-parametric native estimator replay",https://doi.org/10.1145/1007568.1007641,"Sections 2-5",HIGH
"Collecting and Maintaining Just-in-Time Statistics",2007,ICDE,A,RELATED,"payload boundary","Sensitivity-directed query-specific statistics acquisition and incremental maintenance","Does not solve interacting subset evaluation through retained estimator semantics",https://doi.org/10.1109/ICDE.2007.367897,"Sections 2-4",HIGH
"An Online Approach to Physical Design Tuning",2007,ICDE,B/H,RELATED,"N1;physical search","Incrementally updates index benefit approximations and explicitly handles index interactions after configuration changes","Approximate bookkeeping rather than exact semantic invalidation",https://doi.org/10.1109/ICDE.2007.367895,"Section 3.2.1",MEDIUM
"DeepDB: Learn from Data not from Queries",2020,PVLDB,G,REMOTE,"objective evaluation","Reusable data-driven cardinality model","Replacement estimator; no statistics-configuration semantics or physical-design dependency oracle",https://doi.org/10.14778/3384345.3384349,"Sections 2-5",HIGH
"FactorJoin",2023,PACMMOD,G,REMOTE,"CE composition","Factorized join CE from learned single-table distributions","No native statistics-design control or exact move invalidation",https://doi.org/10.1145/3588721,"Sections 2-5",HIGH
