paper,A_design_input,B_fixed_specialized,C_design_parameterized,D_internal_computation,E_control_flow_changes,F_object_interactions,G_hypothetical_response,H_same_rep_dependencies,I_exact_incremental,J_latent_alternatives,K_reenable_inactive,L_physical_design_search,M_estimator_statistics_semantics,N_cross_mechanism_reachability,O_output_equivalence_insufficient,evidence
CE-Replay,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"current manuscript Sections 3-7"
AutoAdmin What-If 1998,YES,PARTIAL,YES,NO,PARTIAL,PARTIAL,YES,NO,NO,UNCLEAR,PARTIAL,YES,NO,NO,UNCLEAR,"Chaudhuri and Narasayya 1998 Sections 2-4; DOI 10.1145/276304.276337"
Automatic Statistics Management 2001,YES,PARTIAL,YES,PARTIAL,PARTIAL,YES,YES,NO,NO,YES,YES,YES,PARTIAL,NO,YES,"Sections 3.2-5.2; especially Section 3.3 monotonicity caveat and MNSA/D g+h counterexample"
INUM 2007,YES,YES,YES,PARTIAL,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,PARTIAL,"Sections 3-4 define INUM Space and configuration-dependent plug-in costs; VLDB 2007 pp.1093-1104"
C-PQO 2008,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,PARTIAL,"Sections 2-4; MEMO/APR representation and arbitrary configurations; DOI 10.1145/1376616.1376710"
Incremental Query Re-Optimization 2016,PARTIAL,YES,PARTIAL,YES,YES,PARTIAL,YES,YES,YES,YES,YES,NO,NO,NO,YES,"Sections 3-5; maintained search/pruning state and reintroduction of pruned plans; DOI 10.1145/2882903.2915212"
Index Interactions 2009,YES,PARTIAL,YES,NO,YES,YES,YES,PARTIAL,PARTIAL,YES,YES,YES,NO,NO,YES,"Sections 1-4; opaque optplan/cost plus exact pair interaction definition; DOI 10.14778/1687627.1687766"
Parametric Query Optimization 1992/2002,PARTIAL,YES,YES,PARTIAL,YES,PARTIAL,YES,NO,NO,YES,YES,NO,NO,NO,PARTIAL,"Ioannidis et al. 1992; Ganguly et al. 2002 parameter regions and alternative optimal plans"
Self-Adjusting Computation 2006,NO,YES,YES,YES,YES,NO,YES,YES,YES,PARTIAL,YES,NO,NO,NO,YES,"Acar et al. 2006 Sections 1-3; dynamic dependence graphs plus memoized change propagation; DOI 10.1016/j.entcs.2005.11.043"
Adapton 2014,NO,YES,YES,YES,YES,NO,YES,YES,YES,PARTIAL,YES,NO,NO,NO,YES,"Hammer et al. 2014 demanded computation graph and from-scratch-consistent recomputation; DOI 10.1145/2594291.2594324"
Automatic Tuning of Data Synopses 2003,YES,PARTIAL,YES,PARTIAL,PARTIAL,PARTIAL,YES,NO,NO,UNCLEAR,UNCLEAR,YES,PARTIAL,NO,UNCLEAR,"König and Weikum 2003 synopsis selection and memory allocation; DOI 10.1016/S0306-4379(02)00050-9"
CORDS 2004,PARTIAL,NO,NO,NO,NO,PARTIAL,NO,NO,NO,NO,NO,PARTIAL,YES,NO,NO,"Ilyas et al. 2004 correlation/soft-FD discovery; DOI 10.1145/1007568.1007641"
JITS 2007,PARTIAL,PARTIAL,PARTIAL,NO,PARTIAL,PARTIAL,PARTIAL,NO,NO,UNCLEAR,UNCLEAR,PARTIAL,PARTIAL,NO,UNCLEAR,"El-Helw et al. 2007 sensitivity-guided acquisition and maintenance; DOI 10.1109/ICDE.2007.367897"
